sample_id,split,original_split,dataset_part,scene_name,camera,annotation_file,annotation_record_index,source_image_path,crop_path,video_frame,local_class,global_person_id,integer_identity_label,bbox_x,bbox_y,bbox_w,bbox_h,crop_width,crop_height
aghri_00000001,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,0,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281271_868742380.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000001_cam_fish_front_f000000.jpg,0,07,person_07,0,213,196,11,26,11,26
aghri_00000006,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,5,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_037714469.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000006_cam_fish_front_f000005.jpg,5,07,person_07,0,213,196.517,10.483,25.483,10,25
aghri_00000011,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,10,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_190817944.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000011_cam_fish_front_f000010.jpg,10,07,person_07,0,213,197,10,25,10,25
aghri_00000016,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,15,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_358607841.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000016_cam_fish_front_f000015.jpg,15,07,person_07,0,212.606,196.606,9.606,25,10,25
aghri_00000021,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,20,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_516855548.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000021_cam_fish_front_f000020.jpg,20,07,person_07,0,212.212,196.212,9.212,25,9,25
aghri_00000026,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,25,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_677436241.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000026_cam_fish_front_f000025.jpg,25,07,person_07,0,211.832,196.504,9.168,24.832,9,25
aghri_00000031,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,30,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_852922009.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000031_cam_fish_front_f000030.jpg,30,07,person_07,0,211.412,197.765,9.588,24.412,10,24
aghri_00000036,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,35,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_009764010.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000036_cam_fish_front_f000035.jpg,35,07,person_07,0,211,199,10,24,10,24
aghri_00000041,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,40,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_176632590.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000041_cam_fish_front_f000040.jpg,40,07,person_07,0,210.702,199,10,24,10,24
aghri_00000046,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,45,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_336228487.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000046_cam_fish_front_f000045.jpg,45,07,person_07,0,210.403,199,10,25.193,10,25
aghri_00000051,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,50,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_495037499.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000051_cam_fish_front_f000050.jpg,50,07,person_07,0,210.105,199,10,25.79,10,26
aghri_00000056,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,55,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_661303433.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000056_cam_fish_front_f000055.jpg,55,07,person_07,0,210,199.615,9,26,9,26
aghri_00000061,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,60,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_862103312.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000061_cam_fish_front_f000060.jpg,60,07,person_07,0,210,200.641,9.453,26,9,26
aghri_00000066,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,65,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_017746006.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000066_cam_fish_front_f000065.jpg,65,07,person_07,0,210,201.667,9.111,26,9,26
aghri_00000071,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,70,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_183744580.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000071_cam_fish_front_f000070.jpg,70,07,person_07,0,209.678,202,9.322,26,9,26
aghri_00000076,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,75,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_351747332.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000076_cam_fish_front_f000075.jpg,75,07,person_07,0,209.276,202,9.724,26,10,26
aghri_00000081,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,80,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_531553126.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000081_cam_fish_front_f000080.jpg,80,07,person_07,0,209,201.883,9.766,26,10,26
aghri_00000086,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,85,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_681174228.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000086_cam_fish_front_f000085.jpg,85,07,person_07,0,210,202,10,27,10,27
aghri_00000091,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,90,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_844952188.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000091_cam_fish_front_f000090.jpg,90,07,person_07,0,210,202,9,27,9,27
aghri_00000096,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,95,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_005044742.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000096_cam_fish_front_f000095.jpg,95,07,person_07,0,209,201.005,8.01,26,8,26
