sample_id,split,original_split,dataset_part,scene_name,camera,annotation_file,annotation_record_index,image_path,video_frame,local_class,global_person_id,bbox_x,bbox_y,bbox_w,bbox_h,image_width,image_height,bbox_area,exclusion_reason
aghri_00000001,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,0,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281271_868742380.png,0,07,person_07,213,196,11,26,640,360,286,
aghri_00000006,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,5,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_037714469.png,5,07,person_07,213,196.517,10.483,25.483,640,360,267.14,
aghri_00000011,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,10,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_190817944.png,10,07,person_07,213,197,10,25,640,360,250,
aghri_00000016,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,15,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_358607841.png,15,07,person_07,212.606,196.606,9.606,25,640,360,240.152,
aghri_00000021,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,20,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_516855548.png,20,07,person_07,212.212,196.212,9.212,25,640,360,230.304,
aghri_00000026,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,25,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_677436241.png,25,07,person_07,211.832,196.504,9.168,24.832,640,360,227.661,
aghri_00000031,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,30,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281272_852922009.png,30,07,person_07,211.412,197.765,9.588,24.412,640,360,234.065,
aghri_00000036,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,35,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_009764010.png,35,07,person_07,211,199,10,24,640,360,240,
aghri_00000041,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,40,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_176632590.png,40,07,person_07,210.702,199,10,24,640,360,240,
aghri_00000046,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,45,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_336228487.png,45,07,person_07,210.403,199,10,25.193,640,360,251.93,
