method,camera_label,Completed runs,GT-visible frames,GT-absent frames,Success@0.5 ↑,Mean IoU ↑,Prediction availability ↑,Absent-target FP rate ↓,Reacquisition rate ↑,Wrong-person rate on visible frames ↓,Correctly localized frames,Prediction-present visible frames,Wrong-person frames,Absent-target FP frames,Reappearance events,Successful reacquisitions
rpf-ReID,Front fisheye,15,7996,631,0.4290895447723862,0.3810448716554652,0.4318409204602301,0.0,0.43243243243243246,0.0,3431,3453,0,0,37,16
rpf-ReID,Left fisheye,10,2235,2089,0.16331096196868009,0.14634214941533286,0.16331096196868009,0.0,0.1,0.0,365,365,0,0,10,1
rpf-ReID,Right fisheye,11,3350,2808,0.4316417910447761,0.38657068047806775,0.5077611940298508,0.005698005698005698,0.2857142857142857,0.07432835820895523,1446,1701,249,16,21,6
rpf-ReID,ZED front RGB,14,3081,751,0.24797143784485556,0.2283616375746075,0.24829600778967867,0.0,0.2857142857142857,0.0003245699448231094,764,765,1,0,35,10
Normal part-OCLReID,Front fisheye,15,7996,631,0.412456228114057,0.3591499349585538,0.5100050025012506,0.2757527733755943,0.1891891891891892,0.09317158579289644,3298,4078,745,174,37,7
Normal part-OCLReID,Left fisheye,10,2235,2089,0.6559284116331097,0.5955633694181726,0.6863534675615213,0.38822403063666827,0.3,0.029082774049217,1466,1534,65,811,10,3
Normal part-OCLReID,Right fisheye,11,3350,2808,0.5997014925373134,0.5331920865641767,0.6053731343283583,0.11609686609686609,0.38095238095238093,0.00417910447761194,2009,2028,14,326,21,8
Normal part-OCLReID,ZED front RGB,14,3081,751,0.41415124959428756,0.3719468744964193,0.47160012982797794,0.1478029294274301,0.17142857142857143,0.055501460564751706,1276,1453,171,111,35,6
Gated part-OCLReID,Front fisheye,15,7996,631,0.478864432216108,0.41721846512439575,0.6141820910455228,0.34072900158478603,0.43243243243243246,0.12718859429714857,3829,4911,1017,215,37,16
Gated part-OCLReID,Left fisheye,10,2235,2089,0.767337807606264,0.6938731804583279,0.8192393736017897,0.44327429392053613,0.6,0.049217002237136466,1715,1831,110,926,10,6
Gated part-OCLReID,Right fisheye,11,3350,2808,0.6477611940298508,0.5776340342356602,0.666865671641791,0.14992877492877493,0.38095238095238093,0.01582089552238806,2170,2234,53,421,21,8
Gated part-OCLReID,ZED front RGB,14,3081,751,0.5060045439792276,0.45628796988879794,0.5894190197987667,0.22902796271637815,0.4,0.08146705615060046,1559,1816,251,172,35,14
